types,counts,total_unique,probs
Dirk,109,4256,5.6073449016116745e-05
Gaylord,109,4256,5.6073449016116745e-05
Gearld,109,4256,5.6073449016116745e-05
Isiah,109,4256,5.6073449016116745e-05
Marco,109,4256,5.6073449016116745e-05
Stanton,109,4256,5.6073449016116745e-05
Augustus,108,4256,5.5559013704042276e-05
Dee,108,4256,5.5559013704042276e-05
Marcel,108,4256,5.5559013704042276e-05
Stevan,108,4256,5.5559013704042276e-05
Lenard,107,4256,5.5044578391967815e-05
Cleo,106,4256,5.4530143079893346e-05
Garth,106,4256,5.4530143079893346e-05
Laverne,106,4256,5.4530143079893346e-05
Shannon,106,4256,5.4530143079893346e-05
Corey,105,4256,5.4015707767818884e-05
Hank,105,4256,5.4015707767818884e-05
Lemuel,105,4256,5.4015707767818884e-05
Lonny,105,4256,5.4015707767818884e-05
Nicolas,105,4256,5.4015707767818884e-05
Pierre,105,4256,5.4015707767818884e-05
Mikel,104,4256,5.3501272455744416e-05
Patricia,104,4256,5.3501272455744416e-05
Royal,104,4256,5.3501272455744416e-05
Freeman,104,4256,5.3501272455744416e-05
Carol,104,4256,5.3501272455744416e-05
Stacy,103,4256,5.298683714366995e-05
Taylor,103,4256,5.298683714366995e-05
Fletcher,103,4256,5.298683714366995e-05
Saul,103,4256,5.298683714366995e-05
Glynn,103,4256,5.298683714366995e-05
Basil,102,4256,5.2472401831595486e-05
Pasquale,102,4256,5.2472401831595486e-05
Silas,102,4256,5.2472401831595486e-05
Gayle,101,4256,5.195796651952102e-05
Leigh,101,4256,5.195796651952102e-05
Lindsay,100,4256,5.1443531207446556e-05
Wilburn,100,4256,5.1443531207446556e-05
Santos,100,4256,5.1443531207446556e-05
Jeremy,100,4256,5.1443531207446556e-05
Earle,100,4256,5.1443531207446556e-05
Anderson,100,4256,5.1443531207446556e-05
Mervin,99,4256,5.092909589537209e-05
Napoleon,99,4256,5.092909589537209e-05
Scot,99,4256,5.092909589537209e-05
Kip,99,4256,5.092909589537209e-05
Herschel,99,4256,5.092909589537209e-05
Bud,99,4256,5.092909589537209e-05
